"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0S990","2019-09-22 00:00:00","409.000","97.000","0.900","22.700","1.000","963.000","","17.000","-99.000","-99.000","-99.000","28.500","","22.400",""
"C0E850","2019-09-22 00:00:00","104.000","38.000","0.400","20.900","0.910","996.800","","5.500","-99.000","-99.000","-99.000","24.700","","19.800",""
"C0T9B0","2019-09-22 00:00:00","558.000","0.000","0.000","21.300","0.990","946.400","","59.000","-99.000","-99.000","-99.000","24.900","","21.200",""
"C0G650","2019-09-22 00:00:00","34.000","337.000","1.100","23.800","0.820","1003.700","","0.000","-99.000","-99.000","-99.000","28.700","","22.600",""
"C0K580","2019-09-22 00:00:00","26.000","64.000","1.200","23.500","0.760","1006.200","","0.000","-99.000","-99.000","-99.000","28.900","","22.500",""
"C0X050","2019-09-22 00:00:00","25.000","85.000","2.900","23.100","0.830","1003.600","","0.000","-99.000","-99.000","-99.000","27.500","","21.900",""
"CM0100","2019-09-22 00:00:00","25.000","95.000","3.200","22.100","0.830","1005.700","","6.500","-99.000","-99.000","-99.000","24.600","","20.200",""
"C0AC70","2019-09-22 00:00:00","71.000","259.000","1.100","22.200","0.850","1000.600","","34.500","-99.000","-99.000","-99.000","22.400","","19.600",""
"CM0130","2019-09-22 00:00:00","11.000","37.000","4.800","24.400","0.700","1006.900","","0.000","-99.000","-99.000","-99.000","26.600","","23.900",""
"C0W110","2019-09-22 00:00:00","16.000","264.000","0.900","-99.000","-99.000","1006.900","","0.500","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0R670","2019-09-22 00:00:00","26.000","71.000","2.700","25.000","-99.000","1005.400","","0.000","-99.000","-99.000","-99.000","28.900","","23.900",""
"C0X120","2019-09-22 00:00:00","28.000","16.000","2.100","24.100","0.750","1005.500","","0.000","-99.000","-99.000","-99.000","28.300","","23.200",""
